param#0 	 dist 	  wgt 
0.208824 	0.000000 	0.105165 	
0.157121 	0.000000 	0.043859 	
0.119445 	0.000000 	0.043483 	
0.103601 	0.000000 	0.055703 	
0.143507 	0.000000 	0.055299 	
0.020438 	0.000000 	0.065167 	
0.109500 	0.000000 	0.054414 	
0.178703 	0.000000 	0.056738 	
0.131900 	0.000000 	0.036820 	
0.149272 	0.000000 	0.056406 	
-0.030292 	0.000000 	0.000000 	
0.174355 	0.000000 	0.056715 	
0.163059 	0.000000 	0.038942 	
0.100471 	0.000000 	0.043370 	
0.121813 	0.000000 	0.059069 	
0.057165 	0.000000 	0.070802 	
0.198757 	0.000000 	0.049107 	
0.172338 	0.000000 	0.039161 	
0.230089 	0.000000 	0.081556 	
0.211870 	0.000000 	0.045057 	
0.129029 	0.000000 	0.038169 	
0.040860 	0.000000 	0.057517 	
0.070129 	0.000000 	0.044839 	
0.029831 	0.000000 	0.072274 	
0.079165 	0.000000 	0.052891 	
0.092887 	0.000000 	0.044802 	
0.172352 	0.000000 	0.039016 	
0.098655 	0.000000 	0.043586 	
0.092684 	0.000000 	0.053228 	
0.059079 	0.000000 	0.037970 	
0.059891 	0.000000 	0.052315 	
0.128477 	0.000000 	0.036329 	
0.029638 	0.000000 	0.063402 	
0.036701 	0.000000 	0.047212 	
0.101379 	0.000000 	0.039021 	
0.029562 	0.000000 	0.061295 	
0.027083 	0.000000 	0.067780 	
0.177838 	0.000000 	0.077155 	
0.180969 	0.000000 	0.076826 	
0.051428 	0.000000 	0.046679 	
0.060610 	0.000000 	0.035275 	
0.083073 	0.000000 	0.034568 	
0.113548 	0.000000 	0.045663 	
0.041872 	0.000000 	0.044128 	
0.111089 	0.000000 	0.043580 	
0.044423 	0.000000 	0.039627 	
0.176751 	0.000000 	0.077033 	
0.120760 	0.000000 	0.048642 	
0.052299 	0.000000 	0.033412 	
0.115216 	0.000000 	0.046035 	
0.069630 	0.000000 	0.033111 	
0.102759 	0.000000 	0.039559 	
0.059004 	0.000000 	0.030402 	
0.044986 	0.000000 	0.018061 	
0.028371 	0.000000 	0.015882 	
0.045152 	0.000000 	0.018117 	
0.107068 	0.000000 	0.020288 	
0.036110 	0.000000 	0.036162 	
0.006493 	0.000000 	0.052814 	
0.127367 	0.000000 	0.046407 	
0.097862 	0.000000 	0.032842 	
-0.010834 	0.000000 	0.000000 	
0.116803 	0.000000 	0.021135 	
0.045778 	0.000000 	0.018435 	
0.024125 	0.000000 	0.020292 	
0.022116 	0.000000 	0.024019 	
0.140986 	0.000000 	0.045321 	
0.017123 	0.000000 	0.043118 	
0.038483 	0.000000 	0.015950 	
0.139846 	0.000000 	0.511254 	
-0.001541 	0.000000 	0.000000 	
0.122564 	0.000000 	0.029501 	
0.136024 	0.000000 	0.011890 	
0.036619 	0.000000 	0.044464 	
0.124877 	0.000000 	0.021097 	
0.133379 	0.000000 	0.010276 	
-0.018526 	0.000000 	0.000000 	
0.100568 	0.000000 	0.100129 	
0.123389 	0.000000 	0.022799 	
0.143618 	0.000000 	0.014285 	
0.029884 	0.000000 	0.051518 	
0.022555 	0.000000 	0.045501 	
0.181765 	0.000000 	0.256807 	
0.010933 	0.000000 	0.049486 	
0.101192 	0.000000 	0.098507 	
0.115099 	0.000000 	0.043329 	
0.121011 	0.000000 	0.024658 	
0.141513 	0.000000 	0.012632 	
0.025492 	0.000000 	0.044065 	
0.142796 	0.000000 	0.014028 	
0.148570 	0.000000 	0.015660 	
0.067042 	0.000000 	0.118869 	
0.119087 	0.000000 	0.042726 	
0.092648 	0.000000 	0.043475 	
0.036541 	0.000000 	0.048636 	
0.197700 	0.000000 	0.076325 	
0.193778 	0.000000 	0.050022 	
0.088733 	0.000000 	0.049352 	
0.046787 	0.000000 	0.136121 	
0.099008 	0.000000 	0.021418 	
0.075308 	0.000000 	0.065544 	
0.103033 	0.000000 	0.034593 	
0.063323 	0.000000 	0.057087 	
0.020279 	0.000000 	0.047103 	
0.081589 	0.000000 	0.060051 	
0.148683 	0.000000 	0.080310 	
0.109135 	0.000000 	0.031165 	
0.026147 	0.000000 	0.029341 	
0.065873 	0.000000 	0.066475 	
0.107331 	0.000000 	0.028831 	
0.023612 	0.000000 	0.031427 	
-0.017713 	0.000000 	0.000000 	
0.123108 	0.000000 	0.074362 	
0.037510 	0.000000 	0.030748 	
0.129142 	0.000000 	0.067974 	
0.114169 	0.000000 	0.046250 	
0.151538 	0.000000 	0.064611 	
0.025224 	0.000000 	0.040152 	
0.121900 	0.000000 	0.054063 	
0.135007 	0.000000 	0.117341 	
0.098215 	0.000000 	0.030660 	
0.106305 	0.000000 	0.034316 	
0.173000 	0.000000 	0.100641 	
0.091246 	0.000000 	0.029046 	
0.050821 	0.000000 	0.027954 	
0.154118 	0.000000 	0.067424 	
0.024272 	0.000000 	0.040464 	
0.061495 	0.000000 	0.026925 	
0.090653 	0.000000 	0.029750 	
0.095785 	0.000000 	0.028821 	
0.059265 	0.000000 	0.027161 	
0.119867 	0.000000 	0.061337 	
0.097179 	0.000000 	0.029005 	
0.139083 	0.000000 	0.020372 	
0.084740 	0.000000 	0.056772 	
0.166122 	0.000000 	0.035269 	
0.063085 	0.000000 	0.055946 	
0.120337 	0.000000 	0.019466 	
0.139525 	0.000000 	0.021573 	
0.069691 	0.000000 	0.102583 	
0.101858 	0.000000 	0.028766 	
0.200005 	0.000000 	0.348920 	
0.108398 	0.000000 	0.023753 	
0.098964 	0.000000 	0.029965 	
0.128601 	0.000000 	0.019470 	
0.166320 	0.000000 	0.035074 	
0.115967 	0.000000 	0.020232 	
0.035327 	0.000000 	0.071928 	
0.138301 	0.000000 	0.018825 	
0.132746 	0.000000 	0.014998 	
0.088032 	0.000000 	0.034238 	
0.120252 	0.000000 	0.012845 	
0.067759 	0.000000 	0.043540 	
0.193008 	0.000000 	0.023811 	
0.059673 	0.000000 	0.061384 	
0.091523 	0.000000 	0.050023 	
0.137196 	0.000000 	0.071068 	
0.078723 	0.000000 	0.043305 	
0.069664 	0.000000 	0.034309 	
0.068690 	0.000000 	0.052101 	
0.082308 	0.000000 	0.044313 	
0.043249 	0.000000 	0.094403 	
0.105282 	0.000000 	0.053872 	
0.209900 	0.000000 	0.033792 	
0.099351 	0.000000 	0.048847 	
0.095939 	0.000000 	0.051069 	
0.078233 	0.000000 	0.043188 	
0.132839 	0.000000 	0.069565 	
0.191941 	0.000000 	0.028246 	
0.194845 	0.000000 	0.018780 	
0.128240 	0.000000 	0.069126 	
0.058036 	0.000000 	0.065256 	
0.136293 	0.000000 	0.018774 	
0.135754 	0.000000 	0.035376 	
0.067503 	0.000000 	0.013718 	
0.112731 	0.000000 	0.030717 	
0.138160 	0.000000 	0.036828 	
0.063680 	0.000000 	0.014464 	
0.063020 	0.000000 	0.014220 	
0.125405 	0.000000 	0.025221 	
0.222990 	0.000000 	0.245499 	
0.073352 	0.000000 	0.016136 	
0.162760 	0.000000 	0.077847 	
0.104152 	0.000000 	0.028091 	
0.150337 	0.000000 	0.065532 	
0.068607 	0.000000 	0.015158 	
0.178074 	0.000000 	0.225822 	
0.037032 	0.000000 	0.037777 	
0.090652 	0.000000 	0.027223 	
0.121768 	0.000000 	0.031156 	
0.103584 	0.000000 	0.022364 	
0.091168 	0.000000 	0.018076 	
